Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Assurance Qualité Logicielle (Pr. SAADI) [A1] S01-S14","Assurance Qualité Logicielle (Pr. SAADI) [A1] S01-S14",,"Méthodologie de la recherche d'emploi (NOTE: à 16h) (Pr. jada) [A1] S03-S14"
Mardi,,,,
Mercredi,"Architecture et Infrastructure Big Data (Pr. LAZAR) [A1] S01-S14","Architecture et Infrastructure Big Data (Pr. LAZAR) [A1] S01-S14","Fouille et visualisation des Big Data (Pr. Skitou) [A7] S01-S14","Fouille et visualisation des Big Data (Pr. Skitou) [A7] S01-S14"
Jeudi,"Architecture microservice et DevOps (Pr. Baidada Chafik) [A1] S01-S14","Architecture microservice et DevOps (Pr. Baidada Chafik) [A1] S01-S14","Matiere au choix : IA Générative (NLP, LLM) (Pr. El Moutaouakil) [B3] S01-S14","Matiere au choix : IA Générative (NLP, LLM) (Pr. El Moutaouakil) [B3] S01-S14"
