Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Langues : Français V (Pr. Serhir) [A6] S01-S09",,,
Mardi,"Tests et normes de sécurité (Pr. KARTIT) [A1] S01-S14","Tests et normes de sécurité (Pr. KARTIT) [A1] S01-S14","Innovation, Start-ups et Marchés financiers (Pr. MAMI) [B9] S01-S14","Innovation, Start-ups et Marchés financiers (Pr. MAMI) [B9] S01-S14"
Mercredi,"Cloud computing et sécurité (Pr.A.AQQAL) [A6] S01-S14","Cloud computing et sécurité (Pr.A.AQQAL) [A6] S01-S14","Séminaire - Blockchain (El Akrami/Hanine) [Code212-RD1] S13-S13","Séminaire - Blockchain (Pr. Hanine/EL Akrami) [Code212-RD1] S13-S13"
Jeudi,"Langues : Anglais III (Pr. El Farouky) [B11] S01-S14","Langues : Français V (Pr. Serhir) [B11] S10-S14","Développement Cloud et Blockchain (Pr. Louahi) [A1] S01-S14","Développement Cloud et Blockchain (Pr. Louahi) [A1] S01-S14"
Vendredi,"Business Intelligence (Pr. Mouyassir) [A7] S01-S14",,,
Samedi,"Machine learning (Pr. EL-MOUSSAOUI) [B3] S08-S14","Machine learning (Pr. EL-MOUSSAOUI) [B3] S08-S14",,
