Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Développement Web (Pr. LAZAR) [B11] S01-S14","Développement Web (TP Gr1) (Pr. LAZAR) [B11] S01-S14","Développement Web (TP Gr2) (Pr. LAZAR) [B11] S01-S14",
Mardi,"Sécurité des réseaux et des architectures IT (Pr. Saidi) [B7] S12-S14","Sécurité des réseaux et des architectures IT (Pr. Saidi) [B7] S12-S14","Sécurité des bases de données (Pr. KARTIT) [B2] S01-S14","Sécurité des bases de données (Pr. KARTIT) [B2] S01-S14"
Mercredi,"Sem 1-8: Séc. Réseaux (Lamrani) [B12] / Sem 10-11: Séc. Réseaux (Saaidi) [B12]","Sem 1-8: Séc. Réseaux TP Gr1 (Lamrani) [B12] / Sem 10-11: Séc. Réseaux (Saaidi) [B12]","Sécurité réseaux et architectures IT- TP GR2 (Pr. Lamrani Alaoui) [A6] S02-S08",
Jeudi,"Langues : Français III (Pr. Azroual) [B1] S01-S14","Langues : Anglais III (Pr. El Farouky) [B1] S01-S14","Machine Learning (Pr. I. Hamzaoui) [B2] S01-S14","Machine Learning (Pr. I. Hamzaoui) [B2] S01-S14"
Vendredi,,,"Lois de la digitalisation (NOTE: à 14h30) (Pr. Najib Giri) [Amphi 2] S02-S14",
Samedi,"Management SI et de la résilience (Pr. Malqui) [B2] S01-S14","Management SI et de la résilience (Pr. Malqui) [B2] S01-S14",,
