Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Langues : Français I (Pr. Serhir) [B1] S01-S14","Mathématique pour l'ingenieur (Pr. El Moutea) [B12] S01-S14","Théorie de l'information et codage (Pr. El Hassani) [B1] S01-S14","Théorie de l'information et codage (Pr. El Hassani) [B1] S01-S14"
Mardi,"Traitement des Signaux et Systèmes (Pr.Fertat) [B1] S01-S14","Traitement des Signaux et Systèmes (Pr.Fertat) [B1] S01-S14","TP Théorie de l'Information et codage (Gr1/2) (Pr. El Hassani) [C2] S11-S14","TP Théorie de l'Information et codage (Gr1/2) (Pr. El Hassani) [A7] S11-S14"
Mercredi,"Processus Aléatoires (Pr. Fertat) [B1] S08-S14","Processus Aléatoires (Pr. Fertat) [B1] S08-S14","Réseaux Informatiques (Pr Haidine) [B1] S01-S14","Réseaux Informatiques (Pr Haidine) [B1] S01-S14"
Jeudi,"Ratt: Traitement des Signaux et Systèmes (Pr.Fertat) [C5] S11-S14","Langue Anglaise I (Pr El Ouakyly) [C5] S01-S14","Algorithmique et programmation en Python (Pr. Touhtouh) [B1] S01-S14","Algorithmique et programmation en Python (Pr. Touhtouh) [B1] S01-S14"
Vendredi,"SI et Bases de données (Pr. El Moutaouakil) [B1] S01-S14","SI et Bases de données (Pr. El Moutaouakil) [B1] S01-S14",,
