Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Sem 1-7: Algo Python [B1] / Sem 8-14: Algo Python [B11] (Pr. ABADA)","Sem 1-7: SI et BD [B3] / Sem 8-14: SI et BD [B1] (Pr. M.HANINE)","Sem 1-7: SI et BD [B3] / Sem 8-14: Algo Python Gr1 [B3]","Sem 1-7: SI et BD [B3] / Sem 8-14: Algo Python Gr2 [B3]"
Mardi,"Mathématique appliquée (Pr. Sadek) [B12] S01-S14","Mathématique appliquée (Pr. Sadek) [B12] S01-S14","Sem 1-7: SI et BD [B12] / Sem 8-14: Algo Python Gr1 [B12]","Sem 1-7: SI et BD [B12] / Sem 8-14: Algo Python Gr2 [B12]"
Mercredi,"Réseaux locaux et protocoles TCP/IP (Pr. Ouaissa Mariyam) [B11] S01-S14","Réseaux locaux et protocoles TCP/IP (Pr. Ouaissa Mariyam) [B11] S01-S14","Langues : Français I (Pr. Serhir) [A1] S01-S14","Langues : Anglais I (Pr. El Farouky) [B12] S01-S14"
Jeudi,"Réseaux locaux et protocoles TCP/IP - Gr1 (Pr. Mariyam Ouaissa) [A7] S11-S14","Réseaux locaux et protocoles TCP/IP - Gr2 (Pr. Mariyam Ouaissa) [A7] S11-S14","Administration et Sécurité des sys client (Pr. Asmae YASSINE) [B12] S01-S14","Administration et Sécurité des sys client (Pr. Asmae YASSINE) [B12] S01-S14"
Vendredi,"Management des organisations (Pr. Rehmani) [B12] S01-S14","Management des organisations (Pr. Rehmani) [B12] S01-S14",,
