Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Sys. d'exploitation et prog. systèmes (Pr. Skitou) [B8] S01-S14","Sys. d'exploitation et prog. systèmes (Pr. Skitou) [B8] S01-S14","Recherche Opérationnelle (Pr. El Moutea) [B8] S01-S14",
Mardi,"Algorithmique avancée et Python (Pr. Baidada Chafik) [B8] S01-S14","TP Algo (Gr1/2) [B8] / TP SI & BD (Gr2/1) [B1] (S02-S14)","TP Algo (Gr2/1) [B8] / TP SI & BD (Gr1/2) [B1] (S02-S14)",
Mercredi,"Rattrapages (S07/S14 uniquement): Sys. Exploit. ou Réseaux [B8]","SI & BD (Pr. El Hannani) [B8] S01-S14","Réseaux informatiques (Pr. El Hassani) [B8] S01-S14","Réseaux informatiques (Pr. El Hassani) [B8] S01-S14"
Jeudi,"Digital Skills (Pr. Hakim Salma) [B8] S01-S14","Digital Skills (Pr. Hakim Salma) [B8] S01-S14","TP Réseaux informatiques (Gr 1/2) (Pr. El Hassani) [B8] S11-S14","TP Réseaux informatiques (Gr 1/2) (Pr. El Hassani) [B8] S11-S14"
Vendredi,"Français I (Pr. Gazari) [B8] S01-S14","Langues: Anglais (Pr. El farouky Hatim) [B8] S01-S14","Statistique Inférentielle (Pr. El Mehdi Loualid) [B8] S01-S14","Ratt: TP Réseaux informatiques (Gr 2) (Pr El Hassani) [B8] S14-S14"
