Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Sem 1-7: Business Intelligence (Pr. HANINE) [B2] / Sem 8-14: Sol. Gestion (Pr. Hakim) [B2]","Sem 1-7: Business Intelligence (Pr. HANINE) [B2] / Sem 8-14: Sol. Gestion (Pr. Hakim) [B2]",,
Mardi,"Systèmes distri et conteneurisation (Pr. N. Assad) [B11] S01-S14","TP Sys. Distri Gr1 (Assad) [A1] / TP Java Web Gr2 (Erraji) [B11]","TP Sys. Distri Gr2 (Assad) [A1] / TP Java Web Gr1 (Erraji) [B11]",
Mercredi,"Rattrapages (S06: Java / S13: Mobile) (Pr. Erraji) [B8]","Développement Web Java Jakarta (Pr. A. Erraji) [C4] S01-S14","Développement d’applications mobiles (Pr. A. Erraji) [B11] S01-S14","Développement d’applications mobiles (TP) (Pr. A. Erraji) [B11] S01-S14"
Jeudi,"Machine Learning (Pr M. El Boujnouni) [B11] S01-S14","Machine Learning (Pr. El boujnouni) [B11] S01-S14",,
Vendredi,"Langues : Anglais (Pr.El farouky Hatim) [B11] S01-S14","Langues :Français II (Pr. Gazari) [B11] S01-S14","Lois de la digitalisation (NOTE: à 14h30) (Pr. Najib Giri) [Amphi 2] S02-S14",
