Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Transmission Numérique (Pr.Fertat) [B2] S01-S14","Transmission Numérique (Pr.Fertat) [B2] S01-S14","TP Réseaux des entreprises et Cloud computing (Pr.A.AQQAL) [A6] S11-S13","TP Réseaux des entreprises et Cloud computing (Pr.A.AQQAL) [A6] S11-S13"
Mardi,"Développement Web (Pr. LAZAR) [B2] S01-S14","Développement Web (TP Gr1) (Pr. LAZAR) [B2] S01-S14","Développement Web (TP Gr2) (Pr. LAZAR) [A7] S01-S14",""
Mercredi,"Deep Learning (Prof. Bousmah) [B2] S01-S14","Deep Learning (Prof. Bousmah) [B2] S01-S14","Langue Anglaise III (Pr El Ouakyly) [B2] S01-S14","Langues : Français III (Pr. Serhir) [B2] S01-S14"
Jeudi,"Réseaux des entreprises et Cloud computing (Pr.A.AQQAL) [B2] S01-S14","Réseaux des entreprises et Cloud computing (Pr. A.AQQAL) [B2] S01-S14","TP Réseaux des entreprises et Cloud (Pr.A.AQQAL) [A6] S08-S11","Loi de la Digitalisation (Pr Chougag) [Amphi 1] S01-S14"
Vendredi,"Bases de données avancées (Pr. I. Hamzaoui) [B2] S02-S07 / S09","Bases de données avancées (Pr. I. Hamzaoui) [B2] S02-S07 / S09","Developpement multiplateforme (NOTE: 14h30 à 16h30) (Pr. El Moutaouakil) [B2] S01-S14","Ratt: Developpement multiplateforme (Pr. El Moutaouakil) [B2] S13-S13"
