Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Séries Temporelles et Applications (Pr.Soulaimani/Kaddar) [A7] S01-S14",,,
Mardi,"Traitement du langage et de la parole (Errattahi / Belfrouh) [A6] S01-S07","Traitement du langage et de la parole (Errattahi / Belfrouh) [A6] S01-S07",,
Mercredi,"Vision par ordinateur et Applications (Pr Saadaoui) [A7] S01-S14","Vision par ordinateur et Applications (Pr Saadaoui) [A7] S01-S14","Traitement du langage et de la parole (Pr Errattahi) [Salle Inconnue] S08-S14","Séries Temporelles et Applications (Pr Kaddar) [Salle Inconnue] S01-S14"
Jeudi,"Technologies Blockchain (Pr Baddi) [A7] S01-S08","Technologies Blockchain (Pr Baddi) [A7] S01-S08",,
Vendredi,"Apprentissage par renforcement et par les gra (Pr Abdessadek Aaroud) [A6] S01-S14","Apprentissage par renforcement et par les gra (Pr Abdessadek Aaroud) [A6] S01-S14",,
Samedi,"IA Générative (Pr Abouqora) [A7] S01-S14 / MLOps (Pr El Alaoui) [Salle Inconnue] S08-S14","IA Générative (Pr Abouqora) [A7] S01-S14 / MLOps (Pr El Alaoui) [Salle Inconnue] S08-S14",,
