Jour,08h30 - 10h20,10h30 - 12h20,13h30 - 15h20,15h30 - 17h20
Lundi,"Internet des Objets et Systèmes Mobiles Intel (Prof. Bousmah) [B3] S01-S14","Internet des Objets et Systèmes Mobiles Intel (Prof. Bousmah) [B3] S01-S14",,"Méthodologie de la recherche d'emploi (NOTE: à 16H) (Pr. jada) [A1] S03-S14"
Mardi,"Sem 1-7: Sécurité avancée des SI (Pr. KARTIT) [A1] / Sem 8-14: Cloud computing (Pr.AQQAL) [B3]","Sem 1-7: Sécurité avancée des SI (Pr. KARTIT) [A1] / Sem 8-14: Cloud computing (Pr.AQQAL) [A6]","Systemes de Communications Mobiles 3G et 4G (Pr. Haidine) [B3] S01-S14","Systèmes de Communications Mobiles 3G et 4G (Pr. Haidine) [B3] S01-S14"
Mercredi,"Management de projets (Pr. MAMI) [B3] S01-S14","Management de projets (Pr. MAMI) [B3] S01-S14","Conception de Solutions Temps Réel et Embarqu (Prof. Bousmah) [B3] S01-S14","Energétique des Systèmes Embarqués (Prof. Bousmah) [B3] S01-S14"
Jeudi,"Réseaux d'opérateurs et MPLS (Pr Lakrami) [B3] S03-S14","Réseaux d'opérateurs et MPLS (Pr Lakrami) [B3] S03-S14",,
Vendredi,"Méthodologie de la recherche scientifique (Pr. El Hassani) [B2] S01-S14","Ratt: Cloud computing et virtualisation (Pr.A.AQQAL) [B5] S10-S10","Ratt: Cloud computing et virtualisation (Pr.A.AQQAL) [A6] S10-S10","Ratt: Cloud computing et virtualisation (Pr.A.AQQAL) [A6] S10-S10"
